,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
29,T18,2021-04-13T23:40:43,29,84,C,49,0.4375,0.404761905,0.382440476,0.386904762,0.464285714,0.47172619,0.476190476,0.553571429,0.851190476,0.915178571,0.941964286,0.982142857,0.985119048,0.991071429,0.974702381,0.983630952,0.93452381,0.962797619,0.955357143,0.961309524,0.974702381,0.959821429,0.648809524,0.476190476
30,B9,2021-04-13T23:40:36,30,197,C,93,0.555203046,0.561548223,0.568527919,0.587563452,0.594543147,0.593908629,0.574238579,0.517766497,0.444796954,0.368654822,0.315989848,0.303299492,0.29822335,0.290609137,0.284263959,0.288071066,0.28680203,0.294416244,0.302030457,0.333121827,0.394035533,0.424492386,0.480329949,0.517766497
31,B10,2021-04-13T23:40:38,31,511,C,127,0.746575342,0.754892368,0.757827789,0.76369863,0.770058708,0.769080235,0.761497065,0.69667319,0.591731898,0.462328767,0.423189824,0.406800391,0.422945205,0.465264188,0.44055773,0.418297456,0.431017613,0.455234834,0.476272016,0.560176125,0.641878669,0.681017613,0.695450098,0.723825832
32,B14,2018-10-29T09:18:49,32,208,C,61,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769
33,WCB,2021-04-13T23:39:59,33,135,C,79,0.502777778,0.515740741,0.524074074,0.526851852,0.530555556,0.537037037,0.537037037,0.525,0.543518519,0.59537037,0.696296296,0.877777778,0.960185185,0.942592593,0.937037037,0.956481481,0.95462963,0.942592593,0.924074074,0.869444444,0.877777778,0.776851852,0.598148148,0.485185185
34,ACB,2021-04-13T23:41:52,34,96,C,63,0.3984375,0.401041667,0.399739583,0.41015625,0.432291667,0.44921875,0.4453125,0.520833333,0.772135417,0.75390625,0.854166667,0.954427083,0.953125,0.97265625,0.940104167,0.950520833,0.911458333,0.90234375,0.845052083,0.772135417,0.7421875,0.623697917,0.430989583,0.358072917
35,CY,2021-04-13T23:41:52,35,40,C,16,0.675,0.6875,0.690625,0.69375,0.6625,0.6875,0.73125,0.875,0.975,0.90625,0.9375,0.9875,1,0.98125,0.971875,0.946875,0.978125,0.984375,0.984375,0.934375,0.94375,0.9625,0.784375,0.74375
36,AM46,2021-04-13T23:45:08,36,408,C,60,0.861213235,0.869178922,0.878370098,0.881433824,0.892156863,0.892463235,0.887867647,0.801776961,0.654411765,0.561887255,0.507965686,0.484068627,0.461397059,0.45557598,0.45067402,0.459558824,0.47120098,0.490502451,0.511029412,0.556372549,0.642156863,0.720894608,0.77879902,0.837622549
37,A12,2021-04-13T23:44:10,37,205,C,106,0.515853659,0.532317073,0.536585366,0.540853659,0.540853659,0.536585366,0.531097561,0.490243902,0.404268293,0.381097561,0.342073171,0.33902439,0.335365854,0.36097561,0.339634146,0.312804878,0.323170732,0.328658537,0.34695122,0.369512195,0.416463415,0.425,0.448170732,0.486585366
38,BE45,2021-04-13T23:44:36,38,363,C,48,0.868801653,0.871556474,0.871900826,0.879132231,0.868801653,0.868112948,0.863980716,0.778581267,0.612258953,0.485881543,0.438016529,0.42630854,0.398071625,0.404614325,0.441460055,0.425619835,0.422865014,0.439393939,0.479683196,0.566804408,0.68285124,0.746556474,0.802341598,0.840564738
39,BE39,2021-04-13T23:44:14,39,707,C,149,0.797560113,0.813295615,0.820014144,0.819483734,0.81824611,0.818422914,0.812411598,0.755304102,0.610678925,0.507956153,0.448196605,0.411775106,0.396039604,0.387376238,0.384016973,0.387376238,0.405586987,0.437588402,0.464285714,0.497524752,0.589285714,0.666195191,0.71145686,0.757425743
40,BE40,2019-06-18T10:58:35,40,339,C,201,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646
41,RCB,2017-03-31T12:00:21,41,320,C,181,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375
