,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
38,BE45,2021-04-14T23:36:35,38,363,C,43,0.863636364,0.874311295,0.876721763,0.878787879,0.866046832,0.864325069,0.859504132,0.757231405,0.615013774,0.474862259,0.439049587,0.428030303,0.406336088,0.424931129,0.431818182,0.436639118,0.453512397,0.460743802,0.496556474,0.556129477,0.669077135,0.733815427,0.78822314,0.832644628
39,BE39,2021-04-14T23:36:36,39,707,C,142,0.793316832,0.8072843,0.815947666,0.822135785,0.817538897,0.816831683,0.811704385,0.747171146,0.619165488,0.511138614,0.448727016,0.410537482,0.397277228,0.400813296,0.397277228,0.398868458,0.399752475,0.435466761,0.470120226,0.502121641,0.582390382,0.643387553,0.702970297,0.745226308
40,BE40,2019-06-18T10:58:35,40,339,C,201,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646
41,RCB,2017-03-31T12:00:21,41,320,C,181,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375
42,CR29,2021-04-14T23:36:28,42,56,C,0,0.997767857,0.997767857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,KLM,2021-04-14T23:35:57,43,352,C,280,0.2109375,0.212002841,0.209872159,0.208451705,0.207741477,0.20703125,0.208096591,0.214133523,0.232244318,0.297940341,0.390625,0.457386364,0.534801136,0.627840909,0.59765625,0.544034091,0.523082386,0.500710227,0.395596591,0.311789773,0.306107955,0.2890625,0.250710227,0.223011364
44,SE34,2021-04-14T23:36:40,44,270,C,13,0.940277778,0.962962963,0.976388889,0.979166667,0.974537037,0.958333333,0.937037037,0.806481481,0.699074074,0.5625,0.531018519,0.518518519,0.490740741,0.52962963,0.55462963,0.553240741,0.561111111,0.558333333,0.559259259,0.63287037,0.747222222,0.822222222,0.874074074,0.929166667
45,KB7,2021-04-14T23:35:45,45,65,C,45,0.294230769,0.282692308,0.284615385,0.351923077,0.365384615,0.4,0.5,0.696153846,0.990384615,0.992307692,0.998076923,0.992307692,1,0.998076923,0.986538462,0.982692308,0.942307692,0.903846154,0.913461538,0.990384615,1,0.980769231,0.713461538,0.494230769
46,SE31,2021-04-14T23:36:41,46,195,C,20,0.926282051,0.929487179,0.933974359,0.933333333,0.976282051,0.971794872,0.955128205,0.853846154,0.690384615,0.547435897,0.483333333,0.466666667,0.436538462,0.412179487,0.396153846,0.389102564,0.505128205,0.507692308,0.541666667,0.601923077,0.698076923,0.776923077,0.846794872,0.901923077
47,J56,2021-04-14T23:36:30,47,15,C,9,0.425,0.241666667,0.225,0.175,0.116666667,0.141666667,0.191666667,0.475,0.883333333,1,1,1,1,1,1,1,1,1,0.975,0.975,0.991666667,0.958333333,0.925,0.65
