,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
29,T18,2021-04-11T23:25:52,29,84,C,34,0.636904762,0.599702381,0.577380952,0.572916667,0.647321429,0.650297619,0.638392857,0.709821429,0.901785714,0.967261905,0.96875,1,1,1,0.998511905,0.992559524,0.985119048,0.991071429,1,0.99702381,0.97172619,0.96577381,0.683035714,0.575892857
30,B9,2021-04-11T23:25:59,30,197,C,97,0.547588832,0.567258883,0.579949239,0.595812183,0.610406091,0.609137056,0.585025381,0.53680203,0.459390863,0.393401015,0.328680203,0.302664975,0.284263959,0.293147208,0.273477157,0.265228426,0.281091371,0.295050761,0.297588832,0.345177665,0.401015228,0.442893401,0.481598985,0.503807107
31,B10,2021-04-11T23:25:46,31,511,C,132,0.762720157,0.766634051,0.771526419,0.773727984,0.778131115,0.775195695,0.763209393,0.697896282,0.60665362,0.490459883,0.430283757,0.424657534,0.418052838,0.431017613,0.437866928,0.405332681,0.423189824,0.446428571,0.496819961,0.575097847,0.673189824,0.720156556,0.726272016,0.736790607
32,B14,2018-10-29T09:18:49,32,208,C,61,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769
33,WCB,2021-04-11T23:26:39,33,135,C,80,0.464814815,0.482407407,0.490740741,0.498148148,0.5,0.503703704,0.503703704,0.487962963,0.483333333,0.544444444,0.635185185,0.817592593,0.937037037,0.950925926,0.942592593,0.948148148,0.94537037,0.90462963,0.855555556,0.830555556,0.766666667,0.728703704,0.591666667,0.496296296
34,ACB,2021-04-11T23:27:50,34,96,C,64,0.33203125,0.337239583,0.348958333,0.356770833,0.359375,0.35546875,0.348958333,0.381510417,0.510416667,0.55859375,0.69921875,0.87109375,0.920572917,0.958333333,0.953125,0.936197917,0.8828125,0.877604167,0.783854167,0.7421875,0.690104167,0.55078125,0.438802083,0.3828125
35,CY,2021-04-11T23:27:50,35,40,C,11,0.665625,0.65,0.653125,0.646875,0.646875,0.65625,0.690625,0.70625,0.896875,0.88125,0.875,0.984375,1,0.95,0.95625,0.978125,0.9875,0.971875,0.903125,0.903125,0.93125,0.9625,0.8125,0.728125
36,AM46,2021-04-11T23:30:53,36,408,C,52,0.870710784,0.878676471,0.882352941,0.885416667,0.888786765,0.890318627,0.884191176,0.789828431,0.65625,0.559436275,0.493259804,0.487132353,0.471507353,0.459252451,0.459865196,0.45435049,0.473345588,0.494178922,0.517769608,0.587928922,0.685355392,0.734987745,0.773590686,0.848345588
37,A12,2021-04-11T23:28:58,37,205,C,102,0.502439024,0.515243902,0.516463415,0.523780488,0.526829268,0.520731707,0.515243902,0.488414634,0.426829268,0.375,0.324390244,0.316463415,0.304268293,0.319512195,0.323780488,0.304268293,0.293292683,0.307926829,0.351219512,0.393902439,0.434146341,0.445121951,0.44695122,0.486585366
38,BE45,2021-04-11T23:29:13,38,363,C,44,0.868801653,0.869834711,0.868801653,0.870179063,0.868112948,0.867424242,0.85915978,0.769628099,0.643250689,0.548553719,0.442837466,0.424931129,0.410123967,0.425964187,0.47761708,0.462465565,0.468319559,0.482093664,0.512741047,0.596418733,0.716597796,0.779269972,0.829545455,0.856404959
39,BE39,2021-04-11T23:29:12,39,707,C,130,0.78960396,0.800035361,0.809405941,0.812411598,0.805869873,0.805516266,0.80675389,0.749292786,0.64480198,0.545084866,0.434582744,0.398161245,0.379420085,0.379420085,0.378536068,0.390912306,0.402758133,0.433698727,0.454031117,0.50830976,0.610325318,0.679632249,0.721004243,0.764851485
40,BE40,2019-06-18T10:58:35,40,339,C,201,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646
41,RCB,2017-03-31T12:00:21,41,320,C,181,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375
42,CR29,2021-04-11T23:29:04,42,56,C,0,1,1,0.997767857,0.993303571,1,1,1,0.991071429,0.973214286,1,0.993303571,1,1,1,1,1,1,1,1,0.991071429,1,1,1,1
43,KLM,2021-04-11T23:26:58,43,352,C,291,0.200994318,0.202414773,0.199573864,0.200284091,0.201349432,0.203125,0.203480114,0.20703125,0.211292614,0.289772727,0.384232955,0.46875,0.554332386,0.659801136,0.590553977,0.552201705,0.527698864,0.49609375,0.398792614,0.302201705,0.293323864,0.254616477,0.228338068,0.21484375
44,SE34,2021-04-11T23:29:15,44,270,C,21,0.928240741,0.950925926,0.960648148,0.959722222,0.95462963,0.944907407,0.937037037,0.836111111,0.767592593,0.617592593,0.502777778,0.487037037,0.469444444,0.489351852,0.520833333,0.502777778,0.506944444,0.516203704,0.537037037,0.605555556,0.704166667,0.809259259,0.859259259,0.910185185
45,KB7,2021-04-11T23:27:45,45,65,C,55,0.190384615,0.203846154,0.194230769,0.2,0.207692308,0.263461538,0.342307692,0.463461538,0.788461538,0.844230769,0.873076923,0.880769231,0.823076923,0.9,0.896153846,0.888461538,0.834615385,0.825,0.821153846,0.838461538,0.903846154,0.844230769,0.582692308,0.390384615
46,SE31,2021-04-11T23:29:13,46,195,C,11,0.955128205,0.955128205,0.958333333,0.957051282,0.975641026,0.973717949,0.967307692,0.879487179,0.746153846,0.610897436,0.510897436,0.454487179,0.435897436,0.425641026,0.406410256,0.425,0.521794872,0.544230769,0.598076923,0.653846154,0.746794872,0.849358974,0.892307692,0.926282051
47,J56,2021-04-11T23:28:44,47,15,C,8,0.383333333,0.108333333,0.108333333,0.125,0.133333333,0.141666667,0.183333333,0.425,0.766666667,0.916666667,1,1,1,0.991666667,1,1,1,1,0.958333333,0.925,0.983333333,0.966666667,0.891666667,0.541666667
48,J57,2021-04-11T23:27:33,48,362,C,340,0.062845304,0.051450276,0.049378453,0.049378453,0.044198895,0.050069061,0.053522099,0.09288674,0.137085635,0.247582873,0.440953039,0.599792818,0.703038674,0.780732044,0.752762431,0.737569061,0.690262431,0.651588398,0.5625,0.560773481,0.481353591,0.365331492,0.200276243,0.101864641
49,J57L,2021-04-11T23:27:33,49,13,C,11,0.201923077,0.163461538,0.173076923,0.182692308,0.144230769,0.144230769,0.25,0.326923077,0.509615385,0.576923077,0.701923077,0.846153846,0.865384615,0.769230769,0.826923077,0.826923077,0.875,0.865384615,0.596153846,0.663461538,0.509615385,0.557692308,0.509615385,0.375
50,J33,2021-04-11T23:25:51,50,111,C,16,0.841216216,0.841216216,0.850225225,0.862612613,0.869369369,0.856981982,0.81981982,0.712837838,0.614864865,0.458333333,0.379504505,0.399774775,0.435810811,0.421171171,0.421171171,0.472972973,0.486486486,0.493243243,0.521396396,0.601351351,0.657657658,0.716216216,0.766891892,0.815315315
51,J34,2021-04-11T23:28:38,51,123,C,33,0.726626016,0.734756098,0.738821138,0.742886179,0.743902439,0.745934959,0.715447154,0.611788618,0.479674797,0.366869919,0.308943089,0.319105691,0.284552846,0.407520325,0.292682927,0.273373984,0.278455285,0.37601626,0.423780488,0.485772358,0.566056911,0.644308943,0.668699187,0.700203252
52,BL8,2021-04-11T23:29:23,52,689,C,259,0.567851959,0.570754717,0.558055152,0.544811321,0.56712627,0.574927431,0.572024673,0.551886792,0.528664731,0.498911466,0.48530479,0.532656023,0.626995646,0.717525399,0.579281567,0.546625544,0.539550073,0.568033382,0.630986938,0.737300435,0.794448476,0.763062409,0.630805515,0.559143687
53,J36,2021-04-11T23:29:14,53,482,C,85,0.851659751,0.865923237,0.882780083,0.88096473,0.876037344,0.874740664,0.853215768,0.761670124,0.598547718,0.483921162,0.390560166,0.379149378,0.374740664,0.384854772,0.365923237,0.373184647,0.386670124,0.408195021,0.455912863,0.562759336,0.675051867,0.757261411,0.800051867,0.835840249
54,J54,2021-04-11T23:28:50,54,226,C,129,0.414823009,0.388274336,0.368915929,0.36670354,0.370575221,0.358960177,0.388827434,0.4375,0.544800885,0.550331858,0.584070796,0.620575221,0.679756637,0.745575221,0.653207965,0.585176991,0.575221239,0.580199115,0.683075221,0.763827434,0.82300885,0.762168142,0.575221239,0.48340708
55,J55,2021-04-11T23:29:24,55,141,C,91,0.308510638,0.289893617,0.289007092,0.285460993,0.280141844,0.27748227,0.29964539,0.312943262,0.399822695,0.412234043,0.418439716,0.481382979,0.503546099,0.540780142,0.436170213,0.417553191,0.37677305,0.419326241,0.473404255,0.528368794,0.585106383,0.52748227,0.456560284,0.379432624
56,J43,2021-04-11T23:29:22,56,190,C,46,0.751315789,0.785526316,0.803289474,0.810526316,0.813157895,0.8125,0.790131579,0.689473684,0.553947368,0.453947368,0.378289474,0.361842105,0.359210526,0.373026316,0.361842105,0.353947368,0.3625,0.378289474,0.429605263,0.475657895,0.594078947,0.633552632,0.684210526,0.739473684
57,J46,2021-04-11T23:26:23,57,63,C,28,0.593253968,0.541666667,0.5,0.523809524,0.492063492,0.535714286,0.607142857,0.71031746,0.859126984,0.871031746,0.908730159,0.952380952,0.982142857,0.986111111,0.94047619,0.982142857,0.978174603,0.996031746,0.996031746,1,0.986111111,0.974206349,0.732142857,0.533730159
58,KB1,2021-04-11T23:29:46,58,239,C,51,0.775627615,0.790271967,0.789225941,0.79916318,0.793410042,0.792364017,0.777719665,0.733263598,0.603556485,0.583158996,0.579497908,0.658995816,0.683054393,0.80125523,0.687238494,0.633368201,0.599895397,0.622384937,0.659518828,0.716004184,0.811715481,0.79916318,0.763075314,0.789748954
59,GBM,2021-04-11T23:29:46,59,677,C,328,0.514955687,0.529357459,0.538035451,0.544497784,0.548190547,0.549113737,0.546344165,0.490398818,0.439807976,0.396233383,0.370753323,0.34767356,0.332533235,0.336041359,0.32127031,0.332348597,0.330317578,0.335672083,0.354135894,0.373522895,0.394017725,0.423744461,0.457348597,0.489660266
60,SE14,2021-04-11T23:29:15,60,187,C,53,0.752005348,0.765374332,0.772058824,0.78342246,0.786096257,0.784759358,0.782754011,0.703208556,0.647727273,0.590909091,0.527406417,0.498663102,0.488636364,0.522727273,0.461229947,0.41644385,0.407085561,0.464572193,0.485962567,0.60828877,0.64973262,0.673796791,0.722593583,0.734625668
61,SE50,2021-04-11T23:29:16,61,591,C,335,0.416878173,0.423857868,0.433164129,0.437394247,0.437605753,0.436759729,0.444585448,0.401649746,0.35215736,0.316201354,0.270939086,0.253807107,0.25105753,0.255922166,0.255287648,0.260575296,0.260575296,0.274957699,0.281302876,0.32000846,0.362309645,0.379441624,0.397631134,0.413705584
62,J40,2021-04-11T23:28:59,62,206,C,31,0.870145631,0.888956311,0.900485437,0.908980583,0.916262136,0.901092233,0.88288835,0.743325243,0.626213592,0.52184466,0.440533981,0.456917476,0.49211165,0.600121359,0.469660194,0.458131068,0.460558252,0.504854369,0.564927184,0.671723301,0.789441748,0.786407767,0.813713592,0.828276699
63,JM1,2021-04-11T23:28:28,63,341,C,186,0.477272727,0.486803519,0.493035191,0.497800587,0.500366569,0.502565982,0.500366569,0.458577713,0.392595308,0.343475073,0.280058651,0.263196481,0.247434018,0.245967742,0.251099707,0.261363636,0.267228739,0.267595308,0.279692082,0.31085044,0.367302053,0.409457478,0.436950147,0.458944282
64,J32,2021-04-11T23:28:28,64,199,C,72,0.64258794,0.643844221,0.646984925,0.652638191,0.654522613,0.650125628,0.623743719,0.537688442,0.434673367,0.385678392,0.316582915,0.317839196,0.314698492,0.31218593,0.322864322,0.329145729,0.359924623,0.418969849,0.440326633,0.542085427,0.609296482,0.618090452,0.623115578,0.638190955
65,A11,2021-04-11T23:28:56,65,368,C,137,0.621263587,0.632133152,0.634171196,0.64232337,0.628057065,0.623980978,0.62669837,0.6015625,0.619565217,0.578125,0.528532609,0.498641304,0.528192935,0.558763587,0.458899457,0.434782609,0.425951087,0.438519022,0.478600543,0.530910326,0.561480978,0.590013587,0.627717391,0.633491848
66,TR1,2021-04-11T23:29:43,66,391,C,127,0.673273657,0.679667519,0.685102302,0.689897698,0.695971867,0.693414322,0.682225064,0.642263427,0.586636829,0.550191816,0.519820972,0.529092072,0.550831202,0.529731458,0.492966752,0.51758312,0.534846547,0.518542199,0.507672634,0.574488491,0.646419437,0.66112532,0.676790281,0.691176471
67,JBM,2021-04-11T23:29:15,67,342,C,198,0.414839181,0.435307018,0.440789474,0.44371345,0.438596491,0.437865497,0.436769006,0.407894737,0.366593567,0.348684211,0.303362573,0.272660819,0.266081871,0.277412281,0.255847953,0.258040936,0.270102339,0.277046784,0.283260234,0.289473684,0.335160819,0.349780702,0.379385965,0.41374269
68,TE2,2021-04-11T23:29:02,68,213,C,122,0.411384977,0.442488263,0.443661972,0.446596244,0.438967136,0.444835681,0.449530516,0.420187793,0.394366197,0.345657277,0.323356808,0.291079812,0.278755869,0.275821596,0.252347418,0.223004695,0.243544601,0.252347418,0.26056338,0.297535211,0.339201878,0.344483568,0.372652582,0.398474178
69,CR31,2021-04-11T23:26:16,69,92,C,0,0.942934783,0.938858696,0.938858696,0.948369565,0.953804348,0.966032609,0.922554348,0.84375,0.78125,0.743206522,0.794836957,0.862771739,0.85326087,0.910326087,0.877717391,0.854619565,0.846467391,0.877717391,0.800271739,0.898097826,0.956521739,0.957880435,0.960597826,0.975543478
70,J1,2021-04-11T23:28:49,70,368,C,127,0.658967391,0.673913043,0.68138587,0.68919837,0.686820652,0.684103261,0.676630435,0.632133152,0.524116848,0.426290761,0.336616848,0.344769022,0.3515625,0.363451087,0.365828804,0.364130435,0.372282609,0.37330163,0.387567935,0.449728261,0.520380435,0.563179348,0.616168478,0.642663043
71,J2,2021-04-11T23:29:14,71,200,C,75,0.63,0.64375,0.66,0.659375,0.655625,0.65125,0.618125,0.5575,0.435625,0.35375,0.286875,0.27875,0.270625,0.289375,0.308125,0.329375,0.33,0.345625,0.38625,0.468125,0.518125,0.5475,0.569375,0.614375
72,J3,2021-04-11T23:28:10,72,308,C,98,0.656655844,0.669237013,0.67288961,0.679788961,0.679383117,0.674512987,0.666396104,0.596996753,0.484983766,0.39650974,0.316964286,0.298701299,0.288961039,0.299512987,0.302353896,0.306412338,0.336444805,0.344967532,0.357142857,0.456168831,0.517857143,0.538961039,0.586850649,0.622564935
73,T37,2021-04-11T23:25:48,73,1174,C,385,0.669293015,0.680579216,0.689629472,0.698786201,0.706026405,0.704535775,0.692717206,0.630643101,0.542376491,0.457197615,0.407687394,0.389373935,0.387883305,0.423019591,0.427385009,0.396294719,0.396401193,0.423232538,0.458155877,0.551959114,0.621486371,0.654599659,0.657474446,0.659816865
74,KB3,2021-04-11T23:29:59,74,149,C,53,0.620805369,0.636744966,0.656040268,0.663590604,0.657718121,0.658557047,0.631711409,0.573825503,0.583892617,0.555369128,0.524328859,0.59647651,0.754194631,0.876677852,0.714765101,0.603187919,0.560402685,0.587248322,0.639261745,0.716442953,0.848993289,0.771812081,0.663590604,0.634228188
75,KBM,2021-04-11T23:28:37,75,239,C,135,0.413702929,0.419979079,0.42207113,0.42625523,0.42834728,0.429393305,0.42207113,0.398535565,0.346757322,0.275627615,0.25,0.240585774,0.267782427,0.35251046,0.306485356,0.259414226,0.22751046,0.2541841,0.279811715,0.321129707,0.362970711,0.378661088,0.394351464,0.408995816
76,J4,2021-04-11T23:29:17,76,172,C,21,0.843023256,0.85755814,0.869912791,0.869912791,0.875726744,0.879360465,0.850290698,0.747819767,0.675872093,0.614098837,0.605377907,0.596656977,0.582122093,0.57122093,0.523982558,0.546511628,0.553052326,0.558139535,0.564680233,0.648982558,0.733284884,0.775436047,0.800145349,0.815406977
77,TGM1,2021-04-11T23:29:24,77,388,C,201,0.46939433,0.485502577,0.487113402,0.489690722,0.488402062,0.488079897,0.481958763,0.457474227,0.392719072,0.324742268,0.273195876,0.221005155,0.213595361,0.21681701,0.211340206,0.22068299,0.231314433,0.242912371,0.255798969,0.299613402,0.340206186,0.388530928,0.418814433,0.463917526
78,TG3,2021-04-11T23:29:23,78,208,C,76,0.637019231,0.654447115,0.655649038,0.6640625,0.660456731,0.65625,0.650841346,0.627403846,0.576322115,0.493389423,0.430889423,0.350360577,0.347956731,0.358774038,0.356370192,0.359375,0.359375,0.373197115,0.383413462,0.459735577,0.493990385,0.544471154,0.588341346,0.637019231
