,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
30,B9,2021-04-10T23:46:40,30,197,C,98,0.527918782,0.552664975,0.564720812,0.576142132,0.586294416,0.600253807,0.601522843,0.562182741,0.523477157,0.583121827,0.61357868,0.560913706,0.493020305,0.503807107,0.480964467,0.474619289,0.465101523,0.484771574,0.474619289,0.479060914,0.479060914,0.487309645,0.495558376,0.517766497
31,B10,2021-04-10T23:46:51,31,511,C,142,0.724804305,0.738258317,0.748287671,0.752690802,0.761986301,0.764677104,0.766389432,0.755381605,0.747553816,0.741682975,0.739970646,0.738013699,0.75,0.751223092,0.74853229,0.750244618,0.762475538,0.779354207,0.78351272,0.825342466,0.814823875,0.774951076,0.73630137,0.747553816
32,B14,2018-10-29T09:18:49,32,208,C,61,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769
33,WCB,2021-04-10T23:50:19,33,135,C,66,0.432407407,0.437962963,0.45,0.466666667,0.466666667,0.465740741,0.468518519,0.474074074,0.486111111,0.567592593,0.725925926,0.899074074,0.963888889,0.967592593,0.984259259,0.978703704,0.883333333,0.891666667,0.806481481,0.65,0.523148148,0.467592593,0.486111111,0.465740741
34,ACB,2021-04-10T23:50:39,34,96,C,55,0.372395833,0.368489583,0.37109375,0.368489583,0.3828125,0.397135417,0.40234375,0.481770833,0.578125,0.82421875,0.944010417,0.96875,0.971354167,0.946614583,0.9453125,0.947916667,0.9609375,0.94921875,0.901041667,0.8203125,0.71875,0.537760417,0.375,0.337239583
35,CY,2021-04-10T23:50:39,35,40,C,4,0.66875,0.66875,0.640625,0.653125,0.678125,0.678125,0.7125,0.896875,0.96875,1,0.975,0.984375,0.978125,0.996875,1,0.996875,1,0.9875,1,0.98125,0.98125,0.9375,0.796875,0.721875
36,AM46,2021-04-10T23:51:44,36,408,C,67,0.848958333,0.867953431,0.875919118,0.879901961,0.89185049,0.892463235,0.890931373,0.870098039,0.844362745,0.774203431,0.727328431,0.682904412,0.61182598,0.61060049,0.608762255,0.612132353,0.633884804,0.631433824,0.606004902,0.605698529,0.645526961,0.719669118,0.78370098,0.853247549
37,A12,2021-04-10T23:50:04,37,205,C,98,0.493292683,0.516463415,0.526829268,0.534756098,0.531707317,0.52804878,0.523780488,0.518902439,0.572560976,0.65,0.711585366,0.630487805,0.6,0.512804878,0.495731707,0.479268293,0.485365854,0.483536585,0.493292683,0.518902439,0.508536585,0.472560976,0.442682927,0.477439024
38,BE45,2021-04-10T23:50:20,38,363,C,49,0.853650138,0.867424242,0.871556474,0.868801653,0.864669421,0.865358127,0.864325069,0.852272727,0.816804408,0.767561983,0.726239669,0.659435262,0.607093664,0.559573003,0.593319559,0.625,0.631887052,0.667355372,0.633953168,0.639807163,0.673898072,0.737947658,0.825413223,0.85915978
39,BE39,2021-04-10T23:50:02,39,707,C,168,0.753182461,0.772277228,0.790487977,0.801449788,0.805693069,0.8072843,0.80887553,0.78960396,0.747171146,0.703854314,0.652227723,0.610502122,0.599186704,0.558168317,0.56824611,0.588932107,0.600424328,0.61403819,0.592644979,0.592998586,0.611032532,0.65311174,0.729137199,0.76980198
