,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
35,CY,2021-04-15T23:27:18,35,40,C,13,0.671875,0.65,0.696875,0.7125,0.671875,0.684375,0.725,0.9,0.978125,0.946875,0.9875,1,0.9875,0.99375,0.96875,0.99375,1,0.9625,0.971875,0.925,0.9,0.94375,0.75,0.66875
36,AM46,2021-04-15T23:30:50,36,408,C,50,0.869178922,0.884497549,0.892769608,0.896139706,0.897977941,0.898897059,0.895220588,0.818933824,0.700367647,0.605698529,0.543198529,0.514093137,0.485294118,0.472732843,0.462622549,0.502757353,0.51317402,0.517769608,0.510110294,0.539828431,0.586090686,0.643688725,0.72120098,0.785232843
37,A12,2021-04-15T23:30:03,37,205,C,105,0.498170732,0.511585366,0.516463415,0.518292683,0.521341463,0.52195122,0.509146341,0.484146341,0.420731707,0.406707317,0.390243902,0.374390244,0.361585366,0.363414634,0.35304878,0.32804878,0.329268293,0.360365854,0.370731707,0.373780488,0.412195122,0.449390244,0.462195122,0.478658537
38,BE45,2021-04-15T23:29:47,38,363,C,53,0.85399449,0.863980716,0.868801653,0.871900826,0.867424242,0.864325069,0.857782369,0.783402204,0.654269972,0.538567493,0.501033058,0.476584022,0.438360882,0.436983471,0.453856749,0.459710744,0.475550964,0.475206612,0.492768595,0.534779614,0.593319559,0.670110193,0.733815427,0.793732782
39,BE39,2021-04-15T23:30:00,39,707,C,158,0.781824611,0.800742574,0.812942008,0.818953324,0.8072843,0.80834512,0.802864215,0.754243281,0.632425743,0.534123055,0.469589816,0.433698727,0.411775106,0.392149929,0.400282885,0.420261669,0.449257426,0.460572843,0.474363508,0.486739745,0.544731259,0.60625884,0.659476662,0.716230552
40,BE40,2019-06-18T10:58:35,40,339,C,201,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646
41,RCB,2017-03-31T12:00:21,41,320,C,181,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375
42,CR29,2021-04-15T20:02:08,42,56,C,0,1,1,1,1,1,1,1,1,0.966517857,1,1,1,1,1,1,1,1,0.997767857,1,0.991071429,1,1,1,1
43,KLM,2021-04-15T20:01:56,43,352,C,250,0.21875,0.214133523,0.210582386,0.211647727,0.210582386,0.210227273,0.212357955,0.217684659,0.227982955,0.284446023,0.360795455,0.413707386,0.497159091,0.587713068,0.573508523,0.525213068,0.502130682,0.4765625,0.388849432,0.321732955,0.328835227,0.310369318,0.2734375,0.234375
44,SE34,2021-04-15T23:29:39,44,270,C,0,0.96712963,0.981481481,0.985648148,0.988425926,0.974537037,0.962962963,0.947685185,0.85787037,0.753240741,0.651388889,0.602314815,0.584722222,0.57037037,0.568055556,0.615277778,0.621296296,0.611574074,0.625925926,0.621296296,0.671296296,0.725462963,0.788425926,0.834722222,0.885185185
45,KB7,2021-04-15T20:02:47,45,65,C,0,0.371153846,0.378846154,0.375,0.421153846,0.432692308,0.465384615,0.55,0.675,0.957692308,0.990384615,1,0.994230769,0.984615385,1,0.973076923,0.853846154,0.909615385,0.85,0.855769231,0.867307692,0.915384615,0.832692308,0.678846154,0.467307692
46,SE31,2021-04-15T23:29:53,46,195,C,22,0.917948718,0.919871795,0.922435897,0.924358974,0.968589744,0.969871795,0.954487179,0.875641026,0.705769231,0.56474359,0.508333333,0.46474359,0.442948718,0.425,0.420512821,0.433974359,0.525,0.537179487,0.555769231,0.597435897,0.678846154,0.731410256,0.805128205,0.862179487
47,J56,2021-04-15T23:29:14,47,15,C,7,0.558333333,0.258333333,0.216666667,0.2,0.183333333,0.2,0.25,0.483333333,0.708333333,0.925,0.95,0.95,0.925,0.941666667,0.983333333,0.95,0.933333333,0.958333333,0.916666667,0.966666667,0.983333333,0.991666667,0.841666667,0.65
48,J57,2021-04-15T23:28:45,48,362,C,333,0.067679558,0.050759669,0.050069061,0.046961326,0.048687845,0.05179558,0.059737569,0.085980663,0.150207182,0.267610497,0.395718232,0.51691989,0.633632597,0.704074586,0.683701657,0.706837017,0.679558011,0.656422652,0.66609116,0.723411602,0.781077348,0.66609116,0.322859116,0.122237569
49,J57L,2021-04-15T23:28:45,49,13,C,10,0.240384615,0.153846154,0.163461538,0.173076923,0.192307692,0.163461538,0.298076923,0.480769231,0.461538462,0.682692308,0.817307692,0.923076923,0.913461538,0.923076923,0.846153846,0.807692308,0.798076923,0.817307692,0.788461538,0.75,0.644230769,0.653846154,0.403846154,0.336538462
50,J33,2021-04-15T23:27:10,50,111,C,26,0.813063063,0.81981982,0.829954955,0.842342342,0.846846847,0.836711712,0.811936937,0.728603604,0.657657658,0.523648649,0.496621622,0.493243243,0.469594595,0.484234234,0.477477477,0.501126126,0.498873874,0.527027027,0.53490991,0.599099099,0.641891892,0.668918919,0.731981982,0.804054054
51,J34,2021-04-15T23:29:09,51,123,C,44,0.68902439,0.700203252,0.714430894,0.722560976,0.727642276,0.730691057,0.711382114,0.62703252,0.471544715,0.383130081,0.359756098,0.339430894,0.344512195,0.452235772,0.379065041,0.31300813,0.327235772,0.389227642,0.417682927,0.458333333,0.526422764,0.543699187,0.579268293,0.620934959
52,BL8,2021-04-15T23:29:46,52,689,C,210,0.590166909,0.587808418,0.597423803,0.603047896,0.632619739,0.656204644,0.669448476,0.664912917,0.699564586,0.693940493,0.644593614,0.686320755,0.756531205,0.814586357,0.6558418,0.612844702,0.592343977,0.606132075,0.688497823,0.774129173,0.814404935,0.806966618,0.668722787,0.589259797
53,J36,2021-04-15T23:29:55,53,482,C,73,0.837655602,0.856327801,0.86903527,0.871628631,0.874221992,0.871887967,0.860995851,0.778267635,0.608143154,0.478993776,0.435425311,0.419087137,0.40093361,0.408195021,0.397043568,0.399636929,0.410010373,0.425051867,0.467842324,0.53656639,0.604253112,0.66623444,0.71343361,0.762188797
54,J54,2021-04-15T23:29:42,54,226,C,119,0.452986726,0.41039823,0.388274336,0.395464602,0.396017699,0.417588496,0.480641593,0.522676991,0.694137168,0.729535398,0.725110619,0.755530973,0.797013274,0.800331858,0.660951327,0.628318584,0.58130531,0.627212389,0.689712389,0.771017699,0.824115044,0.814159292,0.587389381,0.503318584
55,J55,2021-04-15T23:29:25,55,141,C,96,0.366134752,0.339539007,0.339539007,0.306737589,0.306737589,0.309397163,0.364361702,0.39893617,0.552304965,0.613475177,0.614361702,0.608156028,0.647163121,0.70035461,0.496453901,0.447695035,0.427304965,0.453014184,0.493794326,0.593971631,0.665780142,0.612588652,0.437943262,0.375886525
