,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
36,AM46,2021-04-12T23:54:03,36,408,C,51,0.870404412,0.876838235,0.883272059,0.887561275,0.893688725,0.896139706,0.889705882,0.799938725,0.659007353,0.553921569,0.490502451,0.474264706,0.45557598,0.452512255,0.445465686,0.466605392,0.473958333,0.48192402,0.499693627,0.556985294,0.678615196,0.738664216,0.780943627,0.838848039
37,A12,2021-04-12T23:52:22,37,205,C,97,0.513414634,0.523170732,0.526219512,0.529878049,0.52804878,0.526829268,0.512804878,0.473780488,0.4,0.365853659,0.340853659,0.323170732,0.345121951,0.340853659,0.315243902,0.299390244,0.307926829,0.332926829,0.357926829,0.373170732,0.393902439,0.413414634,0.447560976,0.484756098
38,BE45,2021-04-12T23:52:32,38,363,C,52,0.872933884,0.874655647,0.873278237,0.875,0.871212121,0.870179063,0.863292011,0.787534435,0.607093664,0.487947658,0.442493113,0.431818182,0.419077135,0.426652893,0.482093664,0.449380165,0.444214876,0.470730028,0.503787879,0.579201102,0.69077135,0.760330579,0.814393939,0.850895317
39,BE39,2021-04-12T23:52:32,39,707,C,139,0.791725601,0.803571429,0.810997171,0.815594059,0.809936351,0.809229137,0.806046676,0.747171146,0.603960396,0.500353607,0.438826025,0.411244696,0.388967468,0.370933522,0.371287129,0.382248939,0.397807638,0.428394625,0.466407355,0.513613861,0.608380481,0.680869873,0.731966054,0.767149929
40,BE40,2019-06-18T10:58:35,40,339,C,201,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646,0.407079646
41,RCB,2017-03-31T12:00:21,41,320,C,181,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375,0.434375
42,CR29,2021-04-12T23:49:04,42,56,C,0,1,1,1,1,1,1,1,1,0.979910714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997767857
43,KLM,2021-04-12T23:51:18,43,352,C,279,0.213778409,0.212002841,0.209161932,0.209872159,0.209872159,0.210227273,0.210227273,0.219105114,0.230823864,0.301136364,0.397017045,0.475497159,0.563210227,0.679332386,0.610440341,0.5390625,0.513139205,0.474076705,0.389204545,0.287642045,0.287642045,0.248579545,0.221235795,0.197798295
44,SE34,2021-04-12T23:52:32,44,270,C,11,0.953240741,0.968055556,0.971759259,0.967592593,0.961111111,0.944444444,0.92037037,0.809259259,0.690740741,0.559722222,0.512037037,0.4875,0.472222222,0.492592593,0.510648148,0.514814815,0.518518519,0.53287037,0.518055556,0.621296296,0.738888889,0.826851852,0.874537037,0.930555556
45,KB7,2021-04-12T23:51:06,45,65,C,31,0.303846154,0.301923077,0.294230769,0.342307692,0.35,0.373076923,0.432692308,0.628846154,0.903846154,0.915384615,0.938461538,0.932692308,0.948076923,0.95,0.919230769,0.923076923,0.832692308,0.825,0.794230769,0.901923077,0.932692308,0.826923077,0.473076923,0.325
46,SE31,2021-04-12T23:52:28,46,195,C,27,0.935897436,0.933333333,0.930769231,0.936538462,0.980769231,0.978846154,0.96474359,0.875641026,0.7,0.547435897,0.492948718,0.475641026,0.466025641,0.449358974,0.436538462,0.465384615,0.569871795,0.575641026,0.608333333,0.662820513,0.766666667,0.830128205,0.897435897,0.908333333
47,J56,2021-04-12T23:51:13,47,15,C,9,0.35,0.258333333,0.225,0.216666667,0.208333333,0.183333333,0.233333333,0.508333333,0.975,1,1,1,1,1,1,1,1,1,1,0.991666667,1,0.95,0.85,0.75
48,J57,2021-04-12T23:51:43,48,362,C,337,0.069060773,0.061464088,0.059046961,0.05628453,0.055593923,0.061464088,0.064917127,0.098411602,0.155732044,0.307665746,0.479281768,0.618439227,0.703729282,0.759323204,0.720994475,0.742748619,0.713052486,0.707527624,0.675759669,0.645718232,0.653660221,0.51691989,0.22410221,0.091850829
49,J57L,2021-04-12T23:51:43,49,13,C,11,0.221153846,0.182692308,0.153846154,0.182692308,0.182692308,0.201923077,0.288461538,0.490384615,0.451923077,0.730769231,0.913461538,0.855769231,0.990384615,1,0.942307692,0.932692308,0.923076923,0.903846154,0.673076923,0.730769231,0.644230769,0.653846154,0.365384615,0.346153846
50,J33,2021-04-12T23:50:11,50,111,C,19,0.824324324,0.833333333,0.842342342,0.859234234,0.868243243,0.859234234,0.820945946,0.712837838,0.597972973,0.432432432,0.422297297,0.45045045,0.486486486,0.459459459,0.436936937,0.471846847,0.516891892,0.486486486,0.497747748,0.600225225,0.683558559,0.75,0.774774775,0.790540541
51,J34,2021-04-12T23:52:55,51,123,C,31,0.721544715,0.728658537,0.734756098,0.739837398,0.742886179,0.742886179,0.709349593,0.616869919,0.421747967,0.305894309,0.294715447,0.320121951,0.296747967,0.294715447,0.380081301,0.270325203,0.298780488,0.316056911,0.43597561,0.477642276,0.553861789,0.643292683,0.651422764,0.68800813
52,BL8,2021-04-12T23:52:09,52,689,C,286,0.552612482,0.542815675,0.544811321,0.561865022,0.584361393,0.598512337,0.610486212,0.603592163,0.629172714,0.628447025,0.585449927,0.623548621,0.693759071,0.766146589,0.625725689,0.571298984,0.59796807,0.613751814,0.646952104,0.763243832,0.811320755,0.79553701,0.630261248,0.583998549
53,J36,2021-04-12T23:51:12,53,482,C,63,0.856846473,0.869813278,0.867997925,0.875778008,0.88096473,0.879149378,0.859439834,0.768672199,0.572873444,0.444242739,0.393412863,0.375518672,0.361255187,0.379927386,0.36903527,0.364107884,0.375778008,0.409751037,0.447614108,0.550829876,0.671161826,0.749221992,0.800570539,0.838952282
54,J54,2021-04-12T23:52:22,54,226,C,129,0.436393805,0.418141593,0.407632743,0.414269912,0.413716814,0.426438053,0.482300885,0.525442478,0.691924779,0.707964602,0.718473451,0.740597345,0.788163717,0.796460177,0.646570796,0.638274336,0.602323009,0.622234513,0.700221239,0.824668142,0.840707965,0.775442478,0.556415929,0.469026549
55,J55,2021-04-12T23:52:59,55,141,C,93,0.37322695,0.363475177,0.353723404,0.344858156,0.344858156,0.345744681,0.399822695,0.421985816,0.571808511,0.583333333,0.590425532,0.57712766,0.62677305,0.742021277,0.561170213,0.464539007,0.421985816,0.454787234,0.495567376,0.576241135,0.642730496,0.601950355,0.414007092,0.355496454
56,J43,2021-04-12T23:52:13,56,190,C,38,0.776315789,0.803289474,0.822368421,0.832236842,0.828289474,0.823684211,0.809210526,0.715789474,0.547368421,0.405263158,0.370394737,0.367763158,0.354605263,0.384210526,0.361842105,0.364473684,0.367763158,0.374342105,0.405263158,0.482236842,0.561184211,0.626315789,0.6875,0.744736842
