Carpark,LotType,CarparkID,Latitude,Longitude,Agency,Weekday,Saturdays,Sundays.PublicHolidays,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_basement,sheltered
BLK 124D RIVERVALE DRIVE,C,SK5,1.387678488,103.9027451,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 233A COMPASSVALE WALK,C,SK6,1.389467324,103.9009374,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 224E COMPASSVALE WALK,C,SK7,1.389069203,103.8979912,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 126A RIVERVALE STREET,C,SK8,1.389833374,103.9021881,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 146A RIVERVALE CRESCENT,C,SK9,1.390814165,103.9059218,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 4 SAGO LANE CAR PARK,C,SLS,1.281675799,103.842977,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 22 SIN MING ROAD,C,SM1,1.357918085,103.8393282,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 25 SIN MING ROAD,C,SM3,1.354705141,103.8390666,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 24A SIN MING ROAD,C,SM9,1.355495312,103.8368427,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 53A STRATHMORE AVENUE,H,SMM,1.293322433,103.8075822,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 53A STRATHMORE AVENUE,C,SMM,1.293322433,103.8075822,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
